ID,Area of School Connectedness,Strategic Action,Short Description,Link to Resource,Reference Link,Source Material Type,Implementation Level (Classroom (C)/School (S) /Both(B)),Activity Type (Activity (A) or Professional Learning (PL)),Time to prepare/learn,Time to implement,Ease of Use,Notes,Resources Needed,Category,Building Block,notes,Selected from selected,Notes
11,Welcoming Environment,Student Pictures and Work,"A strategy for building better student relationships: posting students' photos and exemplary classwork on a year-long bulletin board to celebrate effort, make growth visible,and signla that their work matters",https://drive.google.com/file/d/1N4iuug7opyEbAkWEu2YMi4XjBmeLB5Eb/view?usp=sharing,https://www.edutopia.org/article/6-strategies-building-better-student-relationships,PDF,C,A,Depends on the implementation,Depends on the implementation,Depends on the implementation,,https://drive.google.com/file/d/1N4iuug7opyEbAkWEu2YMi4XjBmeLB5Eb/view?usp=sharing,,"B2, B3, B4","May be written as lesson plan format?; Selected relevant activities based on the building blocks (B), but we do not think that they are standalone activities that can be turned into lesson plans. They are rather smaller activities that can be inserted into a lesson plan. ",,
12,Welcoming Environment,Find Small Ways to Connect,"A strategy for building better student relationships: standing in a circle and pass a ball; the holder shares a compliment, a weekend/break highlight, or how they are feeling ",https://drive.google.com/file/d/1rLYYytgKBOK80n1UnuGDLjl5qR2sGxA2/view?usp=sharing,https://www.edutopia.org/article/6-strategies-building-better-student-relationships,PDF,C,A,Depends on the implementation,Depends on the implementation,Depends on the implementation,,https://drive.google.com/file/d/1rLYYytgKBOK80n1UnuGDLjl5qR2sGxA2/view?usp=sharing,,"B1, B2","May be written as lesson plan format?; Selected relevant activities based on the building blocks (B), but we do not think that they are standalone activities that can be turned into lesson plans. They are rather smaller activities that can be inserted into a lesson plan. ",,
13,Welcoming Environment,Classmate Bingo,"Fun and effective icebreaker activity that fosters connection, learning, and interactive environment. ",https://blog.tcea.org/human-bingo-a-fun-and-effective-icebreaker/,,Web Activity Resource,C,A,15min,15min,Easy,,https://blog.tcea.org/human-bingo-a-fun-and-effective-icebreaker/,single-web,,,,
14,Welcoming Environment,Mood Meter - Check in,"""8 x 8 grid that features feeling words to help students recognize, understand, label, express, and regulate emotions 
An example mood meter, directions for creating a mood meter included and two short videos about the  mood meter included.",https://www.gopaintlove.org/mood-meter,,Lesson Plan,C,A ,15 min,15 min,Easy  ,,,single-web,,,,
15,Welcoming Environment,Mapping Identity in Content through Concept Maps,"Pose questions to students about what parts of their identities they see represented in the concept maps that have been created.

Pose questions to students about what parts of their identities they do not see.

Use these concept maps to ask students what they would like to learn more about.",https://hrc-prod-requests.s3-us-west-2.amazonaws.com/welcoming-schools/documents/WS-Lesson-My-Many-Identities.pdf?mtime=20210509204034&focal=none,,Lesson Plan,C,A,15 min,30 min,Easy,"***Need to create a slide deck to demonstrate***
-Ranji uses this in PDs",,single-web,,Need to adapt for higher grades; We can take a lesson plan from 4S,,
16,Welcoming Environment,Goal Setting Activities,"Goal-setting model for grades 6-8 with teaching progression and example
Step1: Identify the goal, Step 2: Action plan, Step 3: Reflection
Also has sample student handouts",https://www.coloradoedinitiative.org/wp-content/uploads/2014/10/GS-6-8-model.pdf,,Lesson Plan,C,A,60 min,30 min,Medium,Notes: Provides students with goal setting worksheets → Promote student empowerment over their learning goals,,single-web,,,,
17,Welcoming Environment,Affirmation Activities,Activity plans tailored to different age levels,https://www.geoffreylcohen.com/surveys-and-interventions,,Lesson Plan,B,A,30 min,30 min,Easy,,,multiple-attachment,,,https://drive.google.com/file/d/1eWv2c5soPTAz7q0CIGJ4k9cZ6-qYJ0uC/view?usp=sharing,Affirmation Activity #1 for ages 12-16
18,Welcoming Environment,All students Welcome,"Work to make all students feel safe and welcome. Greet students by name when they enter school/classrooms, have sufficient adult presence in hallways, cafeteria, gym, etc",https://docs.google.com/document/d/1u2w5vY6IEv7PReTeqTXvB9QhWeVW4eUA/edit?usp=sharing&ouid=116812608142416180748&rtpof=true&sd=true,,Lesson Plan,B,A,Depends on the implementation,Depends on the implementation,Depends on the implementation,,,,,,,
19,Welcoming Environment,Build Sense of Belonging,"Using input from students, families, and staff, develop a small set of routines that 1) let students and staff know what to expect in each class., and in each day and 2) Promote connection, well-being, and joy.",https://docs.google.com/document/d/1Z-GXpBqLzcxuZHlb8Moq3QPMy14pggeQ/edit?usp=sharing&ouid=116812608142416180748&rtpof=true&sd=true,,Lesson Plan,B,A,Depends on the implementation,Depends on the implementation,Depends on the implementation,,,,,,,
20,Welcoming Environment,Inclusivity and Identity,Adolescents are developing their sense of self and how they fit with others. Provide opportunities for students to do so.,https://docs.google.com/document/d/11uobU01TTO6b72G4Yv5eKZiYUxqR6bTR/edit?usp=sharing&ouid=116812608142416180748&rtpof=true&sd=true,,Lesson Plan,B,PL,Depends on the implementation,Depends on the implementation,Depends on the implementation,,,,,,,
21,Welcoming Environment,Onboarding Students,Onboarding students in a new context provides a means for students to successfully assimilate into the culture of your school by assisting them through a series of activities designed to create an understanding of and a familiarity with the context of the school to ensure students can successfully continue their learning journey and attain their personal goals and aspirations,https://docs.google.com/document/d/1Ny1OiVCC1j0KjO7yo2Kqj0-nAoyCz2OS/edit?usp=sharing&ouid=116812608142416180748&rtpof=true&sd=true,,Lesson Plan,B,A,Depends on the implementation,Depends on the implementation,Depends on the implementation,,,,,,,
